AARAV,MALE,ASIAN AND PACIFIC ISLANDER,15,1269,51
AARON,MALE,HISPANIC,102,123,33
AARON,MALE,WHITE NON HISPANIC,67,234,49
AARON,MALE,BLACK NON HISPANIC,53,301,28
AARON,MALE,ASIAN AND PACIFIC ISLANDER,51,324,19
ABDIEL,MALE,HISPANIC,12,1636,92
ABDOUL,MALE,BLACK NON HISPANIC,16,1187,58
ABDOULAYE,MALE,BLACK NON HISPANIC,13,1480,61
ABDUL,MALE,ASIAN AND PACIFIC ISLANDER,20,973,46
ABDULLAH,MALE,ASIAN AND PACIFIC ISLANDER,30,614,36
ABEL,MALE,HISPANIC,14,1418,90
ABRAHAM,MALE,WHITE NON HISPANIC,172,47,12
ABRAHAM,MALE,HISPANIC,22,903,82
ADAM,MALE,WHITE NON HISPANIC,129,76,21
ADAM,MALE,HISPANIC,32,584,72
ADAM,MALE,ASIAN AND PACIFIC ISLANDER,28,667,38
ADAM,MALE,BLACK NON HISPANIC,28,669,46
ADEN,MALE,BLACK NON HISPANIC,19,1026,55
ADEN,MALE,HISPANIC,13,1522,91
ADITYA,MALE,ASIAN AND PACIFIC ISLANDER,14,1355,52
ADONIS,MALE,HISPANIC,16,1221,88
ADONIS,MALE,BLACK NON HISPANIC,11,1688,63
ADRIAN,MALE,HISPANIC,157,58,19
ADRIAN,MALE,WHITE NON HISPANIC,35,518,72
ADRIAN,MALE,ASIAN AND PACIFIC ISLANDER,19,1022,47
ADRIAN,MALE,BLACK NON HISPANIC,18,1078,56
ADRIEL,MALE,HISPANIC,34,533,70
AHARON,MALE,WHITE NON HISPANIC,19,1055,88
AHMED,MALE,WHITE NON HISPANIC,26,751,81
AHMED,MALE,ASIAN AND PACIFIC ISLANDER,21,920,45
AHMED,MALE,BLACK NON HISPANIC,11,1689,63
AHRON,MALE,WHITE NON HISPANIC,17,1160,90
AIDAN,MALE,WHITE NON HISPANIC,58,281,55
AIDAN,MALE,HISPANIC,36,495,68
AIDAN,MALE,ASIAN AND PACIFIC ISLANDER,32,572,34
AIDAN,MALE,BLACK NON HISPANIC,20,978,54
AIDEN,MALE,HISPANIC,188,29,12
AIDEN,MALE,BLACK NON HISPANIC,167,51,2
AIDEN,MALE,ASIAN AND PACIFIC ISLANDER,96,137,7
AIDEN,MALE,WHITE NON HISPANIC,78,187,41
AKIVA,MALE,WHITE NON HISPANIC,20,1005,87
ALAN,MALE,HISPANIC,38,461,66
ALAN,MALE,ASIAN AND PACIFIC ISLANDER,37,471,30
ALAN,MALE,WHITE NON HISPANIC,21,949,86
ALBERT,MALE,WHITE NON HISPANIC,15,1329,92
ALBERT,MALE,HISPANIC,13,1523,91
ALBERTO,MALE,HISPANIC,15,1317,89
ALDO,MALE,HISPANIC,10,1920,94
ALEC,MALE,WHITE NON HISPANIC,11,1776,96
ALEJANDRO,MALE,HISPANIC,68,228,47
ALEX,MALE,HISPANIC,68,229,47
ALEX,MALE,ASIAN AND PACIFIC ISLANDER,52,316,18
ALEX,MALE,WHITE NON HISPANIC,34,535,73
ALEXANDER,MALE,HISPANIC,219,19,9
ALEXANDER,MALE,WHITE NON HISPANIC,197,24,8
ALEXANDER,MALE,ASIAN AND PACIFIC ISLANDER,47,353,22
ALEXANDER,MALE,BLACK NON HISPANIC,39,435,35
ALEXIS,MALE,HISPANIC,55,291,54
ALFREDO,MALE,HISPANIC,15,1318,89
ALI,MALE,WHITE NON HISPANIC,33,560,74
ALI,MALE,ASIAN AND PACIFIC ISLANDER,13,1473,53
ALI,MALE,BLACK NON HISPANIC,11,1690,63
ALIJAH,MALE,BLACK NON HISPANIC,10,1840,64
ALLAN,MALE,HISPANIC,10,1921,94
ALLEN,MALE,HISPANIC,22,904,82
ALLEN,MALE,ASIAN AND PACIFIC ISLANDER,14,1356,52
ALLEN,MALE,WHITE NON HISPANIC,11,1777,96
ALVIN,MALE,ASIAN AND PACIFIC ISLANDER,43,393,25
ALVIN,MALE,BLACK NON HISPANIC,10,1841,64
ALVIN,MALE,HISPANIC,10,1922,94
AMADOU,MALE,BLACK NON HISPANIC,15,1275,59
AMAR'E,MALE,BLACK NON HISPANIC,12,1583,62
AMARE,MALE,BLACK NON HISPANIC,15,1276,59
AMARI,MALE,BLACK NON HISPANIC,57,282,27
AMIR,MALE,BLACK NON HISPANIC,89,158,12
AMIR,MALE,HISPANIC,21,944,83
AMIR,MALE,WHITE NON HISPANIC,15,1330,92
AMROM,MALE,WHITE NON HISPANIC,13,1537,94
ANDERSON,MALE,HISPANIC,33,556,71
